Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.20590474769729156
75% Corpus,3,0.01,0.01,0.20350407017210612
75% Corpus,4,0.01,0.01,0.23024711906491951
75% Corpus,5,0.01,0.01,0.23853818790359757
75% Corpus,6,0.01,0.01,0.28464367068581814
75% Corpus,7,0.01,0.01,0.274156813246019
75% Corpus,8,0.01,0.01,0.2733657352565208
75% Corpus,9,0.01,0.01,0.2973863410849303
75% Corpus,10,0.01,0.01,0.30723362458472503
75% Corpus,11,0.01,0.01,0.30095905665358313
75% Corpus,12,0.01,0.01,0.29878161841686063
75% Corpus,13,0.01,0.01,0.32791118859427293
75% Corpus,14,0.01,0.01,0.34203064485910767
75% Corpus,15,0.01,0.01,0.33258518164742346
75% Corpus,16,0.01,0.01,0.3294319846211506
75% Corpus,17,0.01,0.01,0.32008833710591117
75% Corpus,18,0.01,0.01,0.33858865978390634
75% Corpus,19,0.01,0.01,0.35811209631066604
75% Corpus,20,0.01,0.01,0.3704205710248739
75% Corpus,21,0.01,0.01,0.38578532931826687
75% Corpus,22,0.01,0.01,0.36254489430760445
75% Corpus,23,0.01,0.01,0.3761993528042857
75% Corpus,24,0.01,0.01,0.39815020772426807
75% Corpus,25,0.01,0.01,0.4053775000612546
75% Corpus,26,0.01,0.01,0.4161168995214532
75% Corpus,27,0.01,0.01,0.41279907947984085
75% Corpus,28,0.01,0.01,0.4230236306837013
75% Corpus,29,0.01,0.01,0.43074765709147467
100% Corpus,2,0.01,0.01,0.1858230826740514
100% Corpus,3,0.01,0.01,0.21655823101724278
100% Corpus,4,0.01,0.01,0.24501344022134627
100% Corpus,5,0.01,0.01,0.2521109946658975
100% Corpus,6,0.01,0.01,0.26479703490060963
100% Corpus,7,0.01,0.01,0.2770777010541079
100% Corpus,8,0.01,0.01,0.2704925195437714
100% Corpus,9,0.01,0.01,0.27623363581352023
100% Corpus,10,0.01,0.01,0.2693912141803208
100% Corpus,11,0.01,0.01,0.3001660647329167
100% Corpus,12,0.01,0.01,0.2830777816719771
100% Corpus,13,0.01,0.01,0.3273856239239352
100% Corpus,14,0.01,0.01,0.3193810674455528
100% Corpus,15,0.01,0.01,0.3223700175110193
100% Corpus,16,0.01,0.01,0.31316317863684345
100% Corpus,17,0.01,0.01,0.32245841660163027
100% Corpus,18,0.01,0.01,0.34319050904817383
100% Corpus,19,0.01,0.01,0.35842177454037044
100% Corpus,20,0.01,0.01,0.36745429675032554
100% Corpus,21,0.01,0.01,0.3669102295865102
100% Corpus,22,0.01,0.01,0.3690984604150467
100% Corpus,23,0.01,0.01,0.3741511794135659
100% Corpus,24,0.01,0.01,0.3893470003803697
100% Corpus,25,0.01,0.01,0.39898668482089816
100% Corpus,26,0.01,0.01,0.4164534164371592
100% Corpus,27,0.01,0.01,0.41927926794526527
100% Corpus,28,0.01,0.01,0.4295780107723121
100% Corpus,29,0.01,0.01,0.43221971960425226
